Time (s)	w/1 (m)	(w-jump_z_t)/1 (m)
0.0000	-6.0004E-16	-6.0004E-16
0.025000	-2.6352E-5	-2.6352E-5
0.050000	-2.0513E-4	-2.0513E-4
0.075000	-6.7814E-4	-6.7814E-4
0.10000	-0.0014315	-0.0014315
0.12500	-0.0022307	-0.0022307
0.15000	-0.0028141	-0.0028141
0.17500	-0.0030912	-0.0030912
0.20000	-0.0031148	-0.0031148
0.22500	-0.0030902	-0.0030902
0.25000	-0.0032490	-0.0032490
0.27500	-0.0036619	-0.0036619
0.30000	-0.0043063	-0.0043063
0.32500	-0.0050807	-0.0050807
0.35000	-0.0057789	-0.0057789
0.37500	-0.0061768	-0.0061768
0.40000	-0.0062580	-0.0062580
0.42500	-0.0062239	-0.0062239
0.45000	-0.0062793	-0.0062793
0.47500	-0.0066101	-0.0066101
0.50000	-0.0072250	-0.0072250
0.52500	-0.0079879	-0.0079879
0.55000	-0.0086982	-0.0086982
0.57500	-0.0091933	-0.0091933
0.60000	-0.0093870	-0.0093870
0.62500	-0.0093734	-0.0093734
0.65000	-0.0093802	-0.0093802
0.67500	-0.0095868	-0.0095868
0.70000	-0.010116	-0.010116
0.72500	-0.010874	-0.010874
0.75000	-0.011630	-0.011630
0.77500	-0.012200	-0.012200
0.80000	-0.012479	-0.012479
0.82500	-0.012497	-0.012497
0.85000	-0.012475	-0.012475
0.87500	-0.012639	-0.012639
0.90000	-0.013057	-0.013057
0.92500	-0.013723	-0.013723
0.95000	-0.014514	-0.014514
0.97500	-0.015191	-0.015191
1.0000	-0.015551	-0.015551
1.0250	-0.015608	-0.015608
1.0500	-0.015393	-0.015393
1.0750	-0.014988	-0.014988
1.1000	-0.014593	-0.014593
1.1250	-0.014430	-0.014430
1.1500	-0.014585	-0.014585
1.1750	-0.014998	-0.014998
1.2000	-0.015470	-0.015470
1.2000	-0.015470	-0.015470
1.2050	-0.015542	-0.015542
1.2100	-0.015603	-0.015603
1.2150	-0.015651	-0.015651
1.2200	-0.015678	-0.015678
1.2250	-0.015696	-0.015696
1.2300	-0.015686	-0.015686
1.2350	-0.015669	-0.015669
1.2400	-0.015626	-0.015626
1.2450	-0.015573	-0.015573
1.2500	-0.015505	-0.015505
1.2550	-0.015425	-0.015427
1.2600	-0.015340	-0.015352
1.2606	-0.015330	-0.015343