Time (s)	Displacement magnitude (m)	von Mises stress (N/m^2)
0.0000	4.0765E-16	3.2839E-11
0.025000	2.2319E-5	0.86786
0.050000	1.4712E-4	6.1364
0.075000	4.0469E-4	18.146
0.10000	7.5440E-4	35.107
0.12500	0.0011186	52.653
0.15000	0.0014060	66.223
0.17500	0.0015665	73.570
0.20000	0.0016177	75.442
0.22500	0.0016337	75.584
0.25000	0.0017136	79.172
0.27500	0.0019259	89.140
0.30000	0.0022601	104.82
0.32500	0.0026324	122.70
0.35000	0.0029486	138.13
0.37500	0.0031486	147.44
0.40000	0.0032296	150.56
0.42500	0.0032478	150.89
0.45000	0.0032985	153.01
0.47500	0.0034662	160.73
0.50000	0.0037664	174.86
0.52500	0.0041368	192.68
0.55000	0.0044822	209.32
0.57500	0.0047241	220.69
0.60000	0.0048351	225.60
0.62500	0.0048615	226.33
0.65000	0.0048957	227.33
0.67500	0.0050220	233.01
0.70000	0.0052799	245.38
0.72500	0.0056382	262.47
0.75000	0.0060052	279.90
0.77500	0.0062827	293.26
0.80000	0.0064316	300.23
0.82500	0.0064786	301.68
0.85000	0.0065001	302.04
0.87500	0.0065876	306.09
0.90000	0.0068040	316.24
0.92500	0.0071415	332.13
0.95000	0.0075160	350.19
0.97500	0.0078287	365.26
1.0000	0.0080187	374.01
1.0250	0.0080680	376.13
1.0500	0.0079635	371.36
1.0750	0.0077679	361.68
1.1000	0.0075923	352.72
1.1250	0.0075289	349.78
1.1500	0.0076138	353.94
1.1750	0.0077979	362.78
1.2000	0.0079775	371.99
1.2000	0.0079775	371.99
1.2050	0.0080033	373.38
1.2100	0.0080254	374.57
1.2150	0.0080430	375.52
1.2200	0.0080542	376.12
1.2250	0.0080624	376.54
1.2300	0.0080615	376.45
1.2350	0.0080583	376.23
1.2400	0.0080465	375.53
1.2450	0.0080308	374.64
1.2500	0.0080094	373.45
1.2550	0.0079895	372.26
1.2600	0.0079774	371.30
1.2650	0.0079853	371.04
1.2700	0.0080339	372.32
1.2750	0.0081314	375.59
1.2800	0.0082820	381.10
1.2850	0.0084909	389.20
1.2900	0.0087626	400.19
1.2950	0.0091057	414.59
1.3000	0.0095306	433.13
1.3050	0.010022	455.19
1.3100	0.010577	480.64
1.3150	0.011198	509.75
1.3200	0.011878	542.18
1.3250	0.012610	577.58
1.3300	0.013386	615.52
1.3350	0.014198	655.47
1.3400	0.015035	696.83
1.3450	0.015884	738.75
1.3500	0.016733	780.59
1.3550	0.017568	821.72
1.3600	0.018378	861.52
1.3650	0.019150	899.37
1.3700	0.019870	934.67
1.3750	0.020528	966.83
1.3800	0.021112	995.28
1.3850	0.021611	1019.5
1.3900	0.022012	1039.0
1.3950	0.022301	1053.0
1.4000	0.022481	1061.8
1.4050	0.022548	1065.0
1.4100	0.022501	1062.8
1.4150	0.022340	1055.0
1.4200	0.022067	1041.8
1.4250	0.021686	1023.2
1.4300	0.021202	999.50
1.4350	0.020621	971.04
1.4400	0.019954	938.20
1.4450	0.019204	901.29
1.4500	0.018389	861.14
1.4550	0.017520	818.47
1.4600	0.016612	774.02
1.4650	0.015679	728.59
1.4700	0.014736	682.95
1.4750	0.013798	637.84
1.4800	0.012879	593.96
1.4850	0.011993	551.94
1.4900	0.011154	512.31
1.4950	0.010371	475.51
1.5000	0.0096533	441.90
1.5050	0.0090079	411.71
1.5100	0.0084389	385.12
1.5150	0.0079485	362.18
1.5200	0.0075366	342.90
1.5250	0.0072008	327.17
1.5300	0.0069370	314.84
1.5350	0.0067390	305.68
1.5400	0.0065988	299.41
1.5450	0.0065073	295.68
1.5500	0.0064544	294.07
1.5550	0.0064293	294.09
1.5600	0.0064213	295.24
1.5650	0.0064194	296.99
1.5700	0.0064123	298.75
1.5750	0.0063897	300.00
1.5800	0.0063417	300.15
1.5850	0.0062592	298.67
1.5900	0.0061327	294.95
1.5950	0.0059521	288.32
1.6000	0.0057150	278.58
1.6050	0.0054173	265.45
1.6100	0.0050560	248.76
1.6150	0.0046300	228.49
1.6200	0.0041395	204.73
1.6250	0.0035866	177.68
1.6300	0.0029747	147.61
1.6350	0.0023048	114.66
1.6400	0.0015899	79.617
1.6450	8.4052E-4	43.305
1.6500	1.4316E-4	12.932
1.6550	7.5830E-4	37.578
1.6600	0.0015580	75.848
1.6650	0.0023522	114.26
1.6700	0.0031262	151.73
1.6750	0.0038621	187.33
1.6800	0.0045470	220.44
1.6850	0.0051703	250.57
1.6900	0.0057104	276.72
1.6950	0.0061626	298.68
1.7000	0.0065194	316.12
1.7050	0.0067585	327.99
1.7100	0.0068873	334.61
1.7150	0.0069007	335.74
1.7200	0.0067855	330.68
1.7250	0.0065562	320.11
1.7300	0.0062123	303.92
1.7350	0.0057521	281.97
1.7400	0.0051935	255.10
1.7450	0.0045402	223.50
1.7500	0.0038005	187.59
1.7550	0.0029922	148.31
1.7600	0.0021234	106.10
1.7650	0.0012087	61.826
1.7700	2.8205E-4	18.667
1.7750	7.1503E-4	35.417
1.7800	0.0016842	80.636
1.7850	0.0026484	127.05
1.7900	0.0035908	172.56
1.7950	0.0044993	216.42
1.8000	0.0053646	258.13
1.8050	0.0061704	296.86
1.8100	0.0069132	332.39
1.8150	0.0075885	364.48
1.8200	0.0081823	392.43
1.8250	0.0087015	416.64
1.8300	0.0091451	437.08
1.8350	0.0095067	453.49
1.8400	0.0097986	466.47
1.8450	0.010023	476.11
1.8500	0.010183	482.47
1.8550	0.010288	486.08
1.8600	0.010333	486.80
1.8650	0.010313	484.51
1.8700	0.010231	479.56
1.8750	0.010085	471.91
1.8800	0.0098785	461.78
1.8850	0.0096205	449.55
1.8900	0.0093142	435.35
1.8950	0.0089697	419.53
1.9000	0.0085975	402.48
1.9000	0.0085975	402.48
1.9250	0.0066671	311.36
1.9500	0.0054652	248.05
1.9750	0.0055605	250.81
2.0000	0.0068169	313.75
2.0250	0.0085733	404.51
2.0500	0.0099559	472.02
2.0750	0.010219	482.06
2.1000	0.0091017	426.38
2.1250	0.0071957	333.69
2.1500	0.0056603	259.58
2.1750	0.0053680	243.42
2.2000	0.0063995	292.51